name,category,barcode,quantity,expire_date,received_at,batch_code,unit,price,storage_duration,storage_duration_type
Молоко 2.5% Домашнее,Молочные,1000000000001,20,2025-04-25,2025-04-21,MILK-001,л,350,10,day
Молоко 3.2% Фермерское,Молочные,1000000000002,15,2025-04-26,2025-04-21,MILK-002,л,380,10,day
Молоко 1.5% Легкое,Молочные,1000000000003,25,2025-04-27,2025-04-21,MILK-003,л,340,10,day
Молоко 3.5% Отборное,Молочные,1000000000004,18,2025-04-28,2025-04-21,MILK-004,л,390,10,day
Молоко 4.0% Жирное,Молочные,1000000000005,12,2025-04-25,2025-04-21,MILK-005,л,410,10,day
Молоко козье 5%,Молочные,1000000000006,10,2025-04-24,2025-04-21,MILK-006,л,520,7,day
Молоко овечье 6%,Молочные,1000000000007,8,2025-04-23,2025-04-21,MILK-007,л,650,7,day
Молоко детское 3.2%,Молочные,1000000000008,22,2025-04-29,2025-04-21,MILK-008,л,420,10,day
Молоко безлактозное 2.5%,Молочные,1000000000009,15,2025-04-27,2025-04-21,MILK-009,л,480,12,day
Молоко ультрапастеризованное 3.2%,Молочные,1000000000010,30,2025-06-21,2025-04-21,MILK-010,л,360,60,day
Йогурт натуральный 3.2%,Молочные,1000000000011,30,2025-04-24,2025-04-21,YOG-001,шт,280,14,day
Йогурт клубничный 2.5%,Молочные,1000000000012,25,2025-04-25,2025-04-21,YOG-002,шт,290,14,day
Йогурт персиковый 2.5%,Молочные,1000000000013,25,2025-04-25,2025-04-21,YOG-003,шт,290,14,day
Йогурт вишневый 2.5%,Молочные,1000000000014,20,2025-04-26,2025-04-21,YOG-004,шт,290,14,day
Йогурт черничный 2.5%,Молочные,1000000000015,20,2025-04-26,2025-04-21,YOG-005,шт,290,14,day
Йогурт малиновый 2.5%,Молочные,1000000000016,18,2025-04-27,2025-04-21,YOG-006,шт,290,14,day
Йогурт греческий 10%,Молочные,1000000000017,15,2025-04-28,2025-04-21,YOG-007,шт,350,14,day
Йогурт питьевой 2.5%,Молочные,1000000000018,28,2025-04-23,2025-04-21,YOG-008,шт,270,10,day
Йогурт био с бифидобактериями,Молочные,1000000000019,22,2025-04-25,2025-04-21,YOG-009,шт,320,14,day
Йогурт без добавок 5%,Молочные,1000000000020,16,2025-04-26,2025-04-21,YOG-010,шт,310,14,day
Творог 9% домашний,Молочные,1000000000021,15,2025-04-25,2025-04-21,CURD-001,кг,420,7,day
Творог 5% классический,Молочные,1000000000022,18,2025-04-24,2025-04-21,CURD-002,кг,380,7,day
Творог 0% обезжиренный,Молочные,1000000000023,12,2025-04-26,2025-04-21,CURD-003,кг,350,7,day
Творог 18% деревенский,Молочные,1000000000024,10,2025-04-23,2025-04-21,CURD-004,кг,450,7,day
Творожная масса с изюмом,Молочные,1000000000025,14,2025-04-24,2025-04-21,CURD-005,кг,430,5,day
Творожная масса с курагой,Молочные,1000000000026,14,2025-04-24,2025-04-21,CURD-006,кг,430,5,day
Творожная масса с ванилью,Молочные,1000000000027,15,2025-04-25,2025-04-21,CURD-007,кг,420,5,day
