name,category,barcode,quantity,expire_date,received_at,batch_code,unit,price,storage_duration,storage_duration_type
ASU негазированная 0.5л,Напитки,196188941430,50,2025-06-15,2025-04-10,ASU-001,шт,150,180,day
ASU негазированная 0.5л,Напитки,4870001157913,30,2025-07-20,2025-05-01,ASU-002,шт,150,180,day
ASU негазированная 0.5л,Напитки,4870001157913,25,2025-08-10,2025-05-23,ASU-003,шт,150,180,day
Lit Energy Peach Mango 0.45л,Напитки,4680232930113,15,2025-08-30,2025-05-02,LITE-001,шт,550,90,day
Bonaqua минеральная вода негаз. 1л,Напитки,4680232930671,40,2025-09-15,2025-04-21,BONAQUA-001,л,190,150,day
Bonaqua минеральная вода негаз. 1л,Напитки,4680232930671,20,2025-10-01,2025-05-20,BONAQUA-002,л,190,150,day
Borjomi минеральная вода газ. 0.5л,Напитки,4680232930672,36,2025-09-10,2025-04-21,BORJOMI-001,л,280,150,day
Coca-Cola Classic 0.5л,Напитки,4600682000339,50,2025-10-20,2025-05-15,COKE-001,шт,320,180,day
Coca-Cola Classic 0.5л,Напитки,4600682000339,30,2025-09-15,2025-04-01,COKE-OLD,шт,320,180,day
Pepsi 0.5л,Напитки,4605514008357,45,2025-10-15,2025-05-10,PEPSI-001,шт,310,180,day
Red Bull энергетик 0.25л,Напитки,9002490100070,24,2025-12-01,2025-05-20,REDBULL-001,шт,750,6,month
